marker,t2ll_slope_change_t3_t1_median_diff,t2ll_slope_change_t3_t1_diff_Wilcox_raw,t2ll_slope_change_t3_t1_diff_Wilcox_FDR,bd_slope_change_t3_t1_median_diff,bd_slope_change_t3_t1_diff_Wilcox_raw,bd_slope_change_t3_t1_diff_Wilcox_FDR,gmsdis_slope_change_t3_t1_median_diff,gmsdis_slope_change_t3_t1_diff_Wilcox_raw,gmsdis_slope_change_t3_t1_diff_Wilcox_FDR,combi_slope_change_t3_t1_median_diff,combi_slope_change_t3_t1_diff_Wilcox_raw,combi_slope_change_t3_t1_diff_Wilcox_FDR,sc_slope_change_t3_t1_median_diff,sc_slope_change_t3_t1_diff_Wilcox_raw,sc_slope_change_t3_t1_diff_Wilcox_FDR
10000_28_3,0.0029867255280263683,0.6789643633689729,0.7535276332479944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001_7_3,-0.07026420487078539,0.008628585202829999,0.06617816686813364,NA,NA,NA,0.08687474396758021,0.006018875083133917,0.10636888111826508,0.05717071088008131,0.05574356995715056,0.21554991789107783,0.026987590987463242,0.25686831754138056,0.6849821801103482
10003_15_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006_25_3,NA,NA,NA,0.09852691047945983,0.06988892970156534,0.2857484087798177,0.003287745936800715,0.9042677221546954,0.9639518569618246,0.06417006914264997,0.36831000324021657,0.6006234030740548,-0.042669017276569784,0.6609376083884477,0.8964431324734775
10008_43_3,0.15261476439909083,0.11888246820005038,0.22693342263076285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009_2_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10010_10_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10011_65_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012_5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013_34_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014_31_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015_119_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021_1_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022_207_3,NA,NA,NA,-0.0647456551992969,0.29769996816030586,0.5473838124237882,0.010501388180760265,0.8785734385776853,0.9513030278639176,-0.07060553754890031,0.45864151796675756,0.6718396429438607,0.011391018564820547,0.44456565708040585,0.8281743209913943
10023_32_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10024_44_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10025_1_3,-0.12229172109999092,0.00935761257150261,0.06754780839429195,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02929492742875374,0.9887144344319968,0.996887248071957
10030_8_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10034_16_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10035_6_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036_201_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037_98_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10039_32_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10040_63_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10041_3_3,NA,NA,NA,0.12302681328155575,0.004568823014764467,0.13758092278351772,0.01386390609474615,0.9922193287277785,0.9967917680306716,0.03508562543151385,0.36465152425376846,0.5968556834135156,NA,NA,NA
10042_8_3,NA,NA,NA,NA,NA,NA,0.1559449105517827,0.5476003955926259,0.7361370168912175,0.12634052066895468,0.5014898391757132,0.7054316959334298,NA,NA,NA
10043_31_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10044_12_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
