marker,t2ll_slope_t3_t1_median_diff,t2ll_slope_t3_t1_diff_Wilcox_raw,t2ll_slope_t3_t1_diff_Wilcox_FDR,bd_slope_t3_t1_median_diff,bd_slope_t3_t1_diff_Wilcox_raw,bd_slope_t3_t1_diff_Wilcox_FDR,gmsdis_slope_t3_t1_median_diff,gmsdis_slope_t3_t1_diff_Wilcox_raw,gmsdis_slope_t3_t1_diff_Wilcox_FDR,combi_slope_t3_t1_median_diff,combi_slope_t3_t1_diff_Wilcox_raw,combi_slope_t3_t1_diff_Wilcox_FDR,sc_slope_t3_t1_median_diff,sc_slope_t3_t1_diff_Wilcox_raw,sc_slope_t3_t1_diff_Wilcox_FDR
10000_28_3,0.25697941700000004,0.28780727551678054,0.6275025410211109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10001_7_3,0.06238711000000001,0.20507363848422688,0.5866593839901904,NA,NA,NA,-0.04552753699999998,0.9391634160463874,0.9814671602379509,-0.322767264,0.08147662128241479,0.5549811395813714,-0.2826561905,0.5107605847931986,1
10003_15_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006_25_3,NA,NA,NA,-0.18076134900000002,0.5706330131576614,0.8519928963786962,0.044601606000000016,0.9703390648852822,0.9877588013352927,0.16846274400000003,0.45649611430559567,0.8711151934582594,0.2397824185,0.4586509958139932,1
10008_43_3,-0.5279564395,0.09870903246812139,0.5817952499985279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10009_2_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10010_10_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10011_65_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10012_5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10013_34_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10014_31_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10015_119_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021_1_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022_207_3,NA,NA,NA,-0.06485504350000004,0.8900735647915557,0.9667935625321561,-0.314277868,0.45117469868011595,0.8423888262883473,-0.23507133800000002,0.4515704467925678,0.8711151934582594,-0.14346599300000007,0.573865697158278,1
10023_32_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10024_44_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10025_1_3,0.7137339359999999,0.11423289227575666,0.5817952499985279,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17532975949999996,0.9828876505823153,1
10030_8_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10034_16_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10035_6_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10036_201_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10037_98_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10039_32_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10040_63_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10041_3_3,NA,NA,NA,0.004957903499999992,0.9183915793830312,0.9779356488155574,0.27198882599999996,0.4983401499708486,0.8507546842799991,0.213784393,0.5459462392656029,0.8854128111166509,NA,NA,NA
10042_8_3,NA,NA,NA,NA,NA,NA,-0.38599758,0.13589026228934373,0.6510786193203721,-0.451172355,0.1965674157734246,0.7368031114299747,NA,NA,NA
10043_31_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10044_12_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10045_47_3,NA,NA,NA,NA,NA,NA,0.391330545,0.8219334506560183,0.9545550881855884,-0.210420414,0.4075115024650011,0.8644570094588513,NA,NA,NA
10046_55_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10047_12_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10048_7_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10049_112_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10053_5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10054_3_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10056_5_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10058_1_3,NA,NA,NA,NA,NA,NA,0.12051118,0.4280294509355711,0.82674377071699,-0.32274926600000003,0.27598761940243016,0.7772063801017913,-0.151320581,0.8024375703291998,1
10063_10_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10064_12_3,0.18223735549999986,0.8902025767590213,0.9679594640233995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
