marker,gene,gmsdis_coef,gmsdis_coef_pval,gmsdis_pval_fdr
3007_7_2,SIGLEC9,-0.100470422,0.026471458,0.002489485
13424_51_3,AIFM1,0.867069274,0.011708625,0.02442056
11139_4_3,TREML4,0.620002965,0.0184,0.042208957
11146_4_3,TBX22,0.178052387,0.011804066,0.02265235
10548_35_3,KLRG1,0.282923839,0.031252297,0.00549374
13116_25_3,CD177,0.136707646,0.0349,1.22e-8
7268_12_3,IFNA4,-0.242818667,0.018831307,0.018627956
8960_3_3,ERAP2,0.117283749,0.0108,1.55e-9
10365_132_3,IL23A,-0.638581093,2.48e-7,5.87e-6
2579_17_5,MMP9,-0.656114116,3.11951e-4,3.27421e-4
10506_53_3,PGRMC2,0.221782404,0.008072947,0.030047252
13733_5_3,IL12B,-0.649271176,4.27e-6,1.54797e-4
6405_74_3,PSG2,0.208593375,0.004669073,0.020393118
11154_3_3,NFE2L1,0.253321781,0.00367296,0.011578228
4569_52_2,SORCS2,-0.212019327,0.010565843,0.011463624
12403_30_3,RAB39B,0.178263069,0.004592308,0.011103768
9177_6_3,FAM3B,-0.332904192,8.94035e-4,0.017223111
4491_4_2,IL5RA,0.417430729,0.035153651,0.036599342
2789_26_2,MMP7,0.221239582,0.00497,1.04e-6
8465_52_3,CTSH,0.174666323,4.23e-4,1.92e-6
4394_71_2,FGF8,-0.145011943,0.011401834,0.031577874
12394_53_3,C16orf54,-0.150027257,0.00696,0.04057888
9368_64_3,LRTM1,-0.13316428,0.00187,3.01e-15
6617_12_3,FCRL6,-0.342390443,0.004955861,0.024072879
4449_67_3,GREM1,-0.200672995,0.00265891,0.040358495
4397_26_2,IFNL2,-0.221424974,1.17267e-4,0.003247549
11934_9_3,INTS3,-0.133296425,0.008768308,0.038666067
12587_65_3,ARL2,0.084523392,0.0116,0.025250859
13487_24_3,UNC93B1,0.34108289,5.94e-6,7.8e-6
6237_11_3,FGFRL1,0.123195608,0.0114,0.004671257
2988_57_2,ICOS,-0.29349125,0.001991566,0.009115919
9313_27_3,CBLN1,-0.200207967,1.06e-4,2.69e-7
7969_163_3,WFDC11,0.243381731,0.002853493,0.010582623
13435_31_3,IL20RB,0.305241044,0.001330428,0.02312708
4479_14_2,SERPING1,0.245409394,0.008571543,0.025197937
10351_51_3,IRF1,0.12236293,0.0376,3.2e-5
6650_20_3,POSTN,0.281587132,0.002806695,1.97405e-4
11186_12_3,TMEM52,-0.211184569,0.006028596,3.31e-4
3506_49_1,LTA,-0.406528185,0.004992685,0.00474017
8232_90_3,AMICA1,0.075350204,0.0486,0.014513103
12826_5_3,SLC5A5,-0.177579998,0.014907629,0.00557444
12422_143_3,ALOX15B,0.384601205,5.37e-5,2.48e-6
3487_32_2,CXCL13,-0.582791917,1.41398e-4,0.003401743
11174_8_3,THSD7A,-0.107257475,0.044361263,0.027987426
8021_59_3,MRPL14,0.406700742,7.58712e-4,0.012430792
2607_54_2,CLCF1,-0.207652049,0.002046631,0.014191494
11266_8_3,SELPLG,0.208323095,3.52137e-4,9.71e-8
9578_263_3,MANSC4,0.124674044,0.00397,0.001077764
3891_56_1,MBD4,-0.184414263,0.009002862,0.049415682
13701_2_3,CXCL13,-0.520221011,8.9846e-4,0.015182035
13686_2_3,IL5RA,0.288560981,0.008479004,0.013796074
13028_2_3,EVI2B,-0.147477065,0.00453,2.15212e-4
13405_61_3,SPINK2,0.27095025700000003,4.92e-6,4.68e-8
3389_7_2,SERPINA5,0.366066293,4.6781e-4,8.55e-8
9940_35_3,DUSP28,0.20258901,0.002636485,0.010095179
4914_10_1,CGA,0.309737535,9.91e-4,2.46e-15
5834_18_3,IL9,0.124292696,0.00306,2.35e-13
11262_39_3,TRABD,0.15674019,0.0026437,0.012309198
11837_7_3,TNFRSF18,-0.310929495,3.29e-13,5.85e-20
9028_5_3,MTPAP,0.185509826,0.00239,7.78e-5
3795_6_2,ADAM9,0.13919063,0.012,5.0838e-4
3172_28_2,ARSB,0.132644417,0.003775466,0.006454799
3446_7_2,IL18R1,0.149482342,6.14e-5,4.31666e-4
4374_45_2,GDF15,0.206849047,1.92e-4,6.35e-11
2630_12_2,IL1RAP,0.17062242,6.56458e-4,6.58e-8
5098_79_3,KLRF1,-0.289112629,8.51766e-4,0.008485015
11185_145_3,GCH1,-0.196495251,2.05165e-4,0.007684061
8631_13_3,ERMAP,0.214053729,7.88032e-4,0.006558448
7099_33_3,FSTL5,-0.125050342,0.00394,6.31519e-4
10737_96_3,SERPINB1,0.121917364,0.004339503,0.0436
9885_41_3,RAP2A,0.243337578,9.03355e-4,0.023150509
12667_2_3,GDA,-0.212120819,0.014911462,1.86e-5
2652_15_1,PLAUR,0.157264883,2.84e-4,4.45e-5
8897_3_3,LRRC37A2,-0.203526635,6.4755e-4,8.74e-5
13519_112_3,ARHGEF25,0.16720345,0.013785322,0.045164991
7065_1_4,MPIG6B,0.121752983,0.042060812,0.002211152
5728_60_3,FCRL1,-0.362623168,9.9e-5,1.4615e-4
6252_62_3,SCGB3A1,0.106351775,0.014460276,0.016781742
9365_91_3,EYS,-0.209203967,0.00922,0.022429689
14704_10_3,DDR1,0.253621697,0.00198,3.26418e-4
6606_61_3,KISS1,-0.192345298,0.01870034,0.018714011
9569_14_3,SCARA3,0.29243022,2.52e-10,3.59e-11
2635_61_2,LAYN,-0.169900112,0.0031,1.36921e-4
8683_119_3,PILRA,-0.195553823,0.004291684,0.044920786
8032_23_3,MCCD1,0.174875604,0.047146726,0.001736323
8003_57_3,LGI3,0.217608977,4.77813e-4,0.001357239
6512_68_3,KREMEN1,0.244903294,2.28e-4,2.59197e-4
8601_167_3,LRP1,0.368278549,2.58e-9,2.13e-13
4561_65_2,BIRC7,-0.234387205,0.002612408,0.024173291
5675_6_3,PRELP,0.124579012,0.001722565,0.002352617
13708_56_3,KLK8,0.119906416,0.032827484,0.0184
11287_14_3,CYB5A,0.463666103,1.77e-10,6.09e-10
