seqid,Gene,Target,Target_description,nr_pathways
10001_7_3,RAF1,c-Raf,RAF proto-oncogene serine/threonine-protein kinase,28
10006_25_3,ELK1,ELK1,ETS domain-containing protein Elk-1,13
10022_207_3,POLH,POLH,DNA polymerase eta,0
10041_3_3,HNF4A,HNF4A,Hepatocyte nuclear factor 4-alpha,3
10042_8_3,SGK3,SGK3,Serine/threonine-protein kinase Sgk3,0
10045_47_3,CUL3,CUL3,Cullin-3,2
10058_1_3,RAD23A,RD23A,UV excision repair protein RAD23 homolog A,0
10073_22_3,TDP1,TYDP1,Tyrosyl-DNA phosphodiesterase 1,0
10076_1_3,AP4M1,AP4M1,AP-4 complex subunit mu-1,1
10078_5_3,BAG3,BAG3,BAG family molecular chaperone regulator 3,0
10087_10_3,CRYAA,Alpha crystallin A chain,Alpha-crystallin A chain,0
10351_51_3,IRF1,IRF1,Interferon regulatory factor 1,12
10361_25_3,OAS1,OAS1,2'-5'-oligoadenylate synthase 1,3
10365_132_3,IL12B IL23A,IL-23,Interleukin-23,8
10370_21_3,STAT1,STAT1,Signal transducer and activator of transcription 1-alpha/beta,26
10372_18_3,STAT6,STAT6,Signal transducer and activator of transcription 6,11
10382_1_3,ANGPTL3,ANGL3,Angiopoietin-related protein 3,0
10396_6_3,MCL1,Mcl-1,Induced myeloid leukemia cell differentiation protein Mcl-1,6
10419_1_3,SCARA5,SCAR5,Scavenger receptor class A member 5,1
10420_30_3,FAIM,FAIM1,Fas apoptotic inhibitory molecule 1,0
10428_1_3,KIR2DS2,KI2S2,Killer cell immunoglobulin-like receptor 2DS2,0
10438_19_3,CSF2RA,CSF2R,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,4
10445_20_3,APOM,ApoM,Apolipoprotein M,6
10447_18_3,PABPC3,PABP3,Polyadenylate-binding protein 3,0
10449_31_3,SHISA2,TMM46,Protein shisa-2 homolog,0
10453_7_3,CEACAM20,CEA20,Carcinoembryonic antigen-related cell adhesion molecule 20,0
10464_6_3,ANTXR1,ANTR1,Anthrax toxin receptor 1,0
10472_53_3,TNFRSF14,HVEM,Tumor necrosis factor receptor superfamily member 14,2
10491_21_3,M6PR,MPRD,Cation-dependent mannose-6-phosphate receptor,1
10499_1_3,TMEM106A,T106A,Transmembrane protein 106A,0
10506_53_3,PGRMC2,PGRC2,Membrane-associated progesterone receptor component 2,0
10516_53_3,ITM2A,ITM2A,Integral membrane protein 2A,0
10521_10_3,MXRA8,MXRA8,Matrix-remodeling-associated protein 8,2
10534_40_3,PARP1,PARP,Poly [ADP-ribose] polymerase 1,2
10548_35_3,KLRG1,KLRG1,Killer cell lectin-like receptor subfamily G member 1,1
10551_7_3,LAT,LAT,Linker for activation of T-cells family member 1,3
10571_14_3,MGAT1,MGAT1,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1
10576_7_3,PLXDC2,PXDC2,Plexin domain-containing protein 2,0
10584_7_3,NDUFS4,NDUS4,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",3
10589_7_3,RAET1L,RET1L,Retinoic acid early transcript 1L protein,1
10603_1_3,HTN3,HIS3,Histatin-3,0
10606_34_3,TOR1AIP1,TOIP1,Torsin-1A-interacting protein 1,0
10615_18_3,MPZ,MYP0,Myelin protein P0,1
10616_67_3,PODXL2,PDXL2,Podocalyxin-like protein 2,1
10618_190_3,LRP2,megalin,Low-density lipoprotein receptor-related protein 2,0
10631_9_3,PGRMC2,PGRC2,Membrane-associated progesterone receptor component 2,0
10663_42_3,INSIG1,INSI1,Insulin-induced gene 1 protein,0
10668_5_3,STX4,STX4,Syntaxin-4,0
10675_223_3,TMX2,TMX2,Thioredoxin-related transmembrane protein 2,0
10692_48_3,DYNAP,CR026,Dynactin-associated protein,0
10699_52_3,LRP1,LRP1,Prolow-density lipoprotein receptor-related protein 1,9
10700_10_3,IGSF11,IGS11,Immunoglobulin superfamily member 11,0
10702_1_3,COL28A1,COSA1,Collagen alpha-1(XXVIII) chain,6
10721_76_3,PCDHGB4,PCDGG,Protocadherin gamma-B4,0
10724_45_3,CLPB,CLPB,Caseinolytic peptidase B protein homolog,0
10737_96_3,SERPINB1,Serpin B1,Leukocyte elastase inhibitor,3
10738_11_3,FBLN5,fibulin 5,Fibulin-5,0
10741_22_3,CSF1,CSF-1,Macrophage colony-stimulating factor 1,11
10749_18_3,C1QTNF3,C1QT3,Complement C1q tumor necrosis factor-related protein 3,0
10752_8_3,CDYL2,CDYL2,Chromodomain Y-like protein 2,0
10758_2_3,KERA,KERA,Keratocan,0
10761_5_3,TMED2,TMED2,Transmembrane emp24 domain-containing protein 2,0
10785_8_3,LRRC52,LRC52,Leucine-rich repeat-containing protein 52,0
10800_15_3,SERPINH1,Collagen-binding protein,Serpin H1,0
10803_22_3,PCDHGB2,PCDGE,Protocadherin gamma-B2,0
10870_32_3,SPAST,Spastin,Spastin,0
