marker,gene,ms_hd_median_diff,ms_vs_hd_diff_wilcox_fdr
5430_66_3,SIRPA,-0.917143118,0.001802656
10816_150_3,PILRA,0.036483963,0.01593629
5680_54_3,OBP2B,-0.494449799,0.009741903
8219_14_3,ZG16,-0.026802425,0.001929228
3600_2_3,CHIT1,1.634994891,1e-11
10512_13_3,CSF2RB,-0.350692033,0.003053253
8802_24_3,UBE2J2,12.37300308,6.95e-36
13424_51_3,AIFM1,4.605755012,5.21e-20
11139_4_3,TREML4,8.950808653,9.279999999999999e-35
3309_2_2,FCGR2A,-1.188756116,1.13651e-4
9275_2_3,CTSL,0.699257388,1.48179e-4
2704_74_1,TNFRSF13B,6.770562556,6.44e-30
10814_7_3,CD1A,1.562050754,3.46e-11
8994_65_3,SLAMF8,4.799905445,1.63e-24
5487_7_3,SLAMF7,4.120421719,6.860000000000001e-27
10548_35_3,KLRG1,4.318633967,1.1700000000000001e-29
10365_132_3,IL23A,1.224136056,6.19e-9
7057_18_3,SHISA3,4.400214412,5.32e-25
14084_191_3,ICOS,2.365022855,3.16e-17
2579_17_5,MMP9,2.915100794,3.49e-13
10506_53_3,PGRMC2,1.221074483,3.15e-9
10460_1_3,CHIT1,1.373706141,8.16e-10
4496_60_2,MMP12,0.776286513,8.4027e-4
12509_115_3,COMMD1,1.437212347,7.03e-13
13733_5_3,IL12B,1.48735841,5.92e-10
7780_34_3,MZB1,7.308641223,4.5899999999999996e-35
11107_25_3,TENM3,-0.529317687,0.001802656
6417_55_3,MUC15,2.88752255,2.9400000000000003e-21
6405_74_3,PSG2,0.601298498,4.45029e-4
10476_23_3,MCFD2,1.176925732,1.44e-7
9246_1_3,LPAL2,0.457301335,0.003665462
9267_2_3,CPA4,-0.740864966,0.008449381
9869_28_3,NFKB1,2.076693321,2.69e-13
11187_11_3,CLEC12A,1.157954069,2.23e-8
8407_84_3,NOTCH2,-0.338633666,1.24e-5
7827_20_3,ADAM32,-0.668972134,0.002457159
5014_49_1,NCK1,0.455986642,0.002900206
11561_32_3,ARK2C,1.586714463,4.92e-14
5363_51_3,SEMA3E,-0.43507633,0.008856095
